Number,Mound,Ditch,St Francis,Platform,Num_Mounds,Max Mound Area (sq ft),Max Mound Height (ft),PFG Type,Easting,Northing,Name
13-N-6,1.0,0.0,0,0.0,1,0.0,3.0,,723393.0,3855190.0,Jerusalem Church
13-N-7,1.0,0.0,1,0.0,2,0.0,0.0,St. Francis,708000.0,3861780.0,Clay Hill
13-N-8,0.0,0.0,0,0.0,0,0.0,0.0,,726001.0,3856560.0,Findley
13-N-9,0.0,0.0,0,0.0,0,0.0,0.0,,718056.0,3850040.0,Red Oak
13-O-1,1.0,0.0,0,0.0,2,0.0,9.0,Small Ceremonial Center,732400.0,3864600.0,Barrett
13-O-10,1.0,0.0,0,1.0,15,0.0,20.0,Large Ceremonial Center,740620.0,3851300.0,Hollywood
13-O-11,1.0,0.0,0,1.0,6,0.0,18.0,Small Ceremonial Center,739436.0,3855772.0,Commerce
13-O-12,0.0,0.0,0,0.0,0,0.0,0.0,,741784.0,3849650.0,Indian Creek
13-O-13,1.0,0.0,0,0.0,1,0.0,0.0,,744014.0,3852682.0,Crystal Spring Mound
13-O-14,1.0,0.0,0,0.0,1,0.0,0.0,,742436.0,3849821.0,Sledge (Royal)
13-O-2,1.0,0.0,0,0.0,2,0.0,12.0,Small Ceremonial Center,738817.0,3872321.0,Green River Plantation
13-O-3,1.0,0.0,0,0.0,1,0.0,0.0,Conical Mound,733280.0,3870150.0,Huber
13-O-4,1.0,0.0,0,0.0,1,0.0,0.0,,737248.0,3872690.0,Nickey Mound
13-O-5,1.0,0.0,1,1.0,6,0.0,10.0,St. Francis,733280.0,3870150.0,Belle Meade
13-O-6,1.0,0.0,0,1.0,1,0.0,0.0,,729228.0,3872190.0,New Bethel
13-O-7,1.0,0.0,0,0.0,8,0.0,10.0,St. Francis,738580.0,3866850.0,Beck
13-O-8,1.0,0.0,0,0.0,2,2827.4333882308138,6.0,Conical Mound,732400.0,3864600.0,Stoddard
13-O-9,1.0,0.0,0,0.0,3,1963.4954084936207,4.0,Conical Mound,737480.0,3875620.0,Collins
13-P-1,1.0,0.0,0,0.0,1+,0.0,0.0,Irregular,754769.0,3874859.0,Walls
13-P-10,1.0,0.0,0,0.0,1,0.0,0.0,Irregular,759796.0,3867421.0,Irby
13-P-11,1.0,0.0,0,0.0,1,0.0,3.0,Irregular,753929.0,3872116.0,Woodlyn
13-P-2,1.0,0.0,0,0.0,2,0.0,0.0,,754578.0,3875797.0,Edgefield Mounds
13-P-3,0.0,0.0,0,0.0,0,0.0,0.0,,757391.0,3867500.0,Turkey Ridge
13-P-4,0.0,0.0,0,0.0,0,0.0,0.0,,759719.0,3868400.0,Dogwood Ridge
13-P-5,1.0,0.0,0,0.0,1,0.0,0.0,,753463.0,3863500.0,Shannon
13-P-6,1.0,0.0,0,1.0,5,0.0,6.0,Irregular,757787.0,3872748.0,Cheatham
13-P-7,0.0,0.0,0,0.0,0,0.0,0.0,,751930.0,3869960.0,Norfolk
13-P-8,1.0,0.0,0,0.0,1,0.0,0.0,,753981.0,3866890.0,Lake Cormorant
13-P-9,1.0,0.0,0,0.0,2,0.0,0.0,,755964.0,3865550.0,Withers
