seed,nc_co,nc_tt,fst_co,fst_tt
317,4.0,3.0,0.023501608737771316,0.008590287595033882
318,3.0,2.0,0.015140042512457676,0.006733499703893865
319,3.0,2.0,0.027881218870859415,0.006430301169724659
320,3.0,2.0,0.015331282308349035,0.0047846303032266675
321,3.0,2.0,0.02178336672319967,0.006642339880176695
322,4.0,2.0,0.024383070775905572,0.007232081694864223
323,3.0,2.0,0.020658486195798204,0.005275648132597556
324,4.0,2.0,0.029599004179679297,0.007219916851752351
325,4.0,2.0,0.02295764133968319,0.005009183801084134
326,2.0,2.0,0.014382574739118092,0.008223716100171882
327,3.0,2.0,0.01668539938474188,0.005601874676715604
328,4.0,2.0,0.038046697736594755,0.004732051409270789
329,3.0,2.0,0.02088843373915056,0.009033154000716833
330,3.0,3.0,0.013027275253260837,0.012931321105039029
331,3.0,2.0,0.017207755456253568,0.005139999295872524
332,2.0,3.0,0.005854869964349288,0.01173832379246723
333,3.0,2.0,0.04086258680824722,0.007619217828508389
334,4.0,2.0,0.02643200636913241,0.005064042353334766
335,3.0,2.0,0.020018509951470725,0.006211202044828969
336,3.0,2.0,0.02257685940402067,0.004329755495442412
337,4.0,2.0,0.03738690667631719,0.004565693214847727
338,3.0,2.0,0.017717811944048388,0.005851861318827213
339,4.0,2.0,0.02921983215915657,0.0046407100762737175
340,3.0,2.0,0.018058537386063483,0.005483267019900836
341,4.0,2.0,0.02945570457353533,0.00632991208684234
342,3.0,2.0,0.019028247115319398,0.0053904124705801025
343,3.0,2.0,0.023089036950522442,0.005999204895171319
344,3.0,2.0,0.02110704635554143,0.005599043829189211
345,3.0,2.0,0.019870388608444894,0.004658025553407517
346,3.0,2.0,0.022800776479424238,0.006457746756858871
347,4.0,2.0,0.026140497184534896,0.005153491863917413
348,3.0,2.0,0.022212603082474944,0.00593686177462268
349,3.0,2.0,0.017780592497917802,0.006049485073026573
350,3.0,2.0,0.029533078915527665,0.004746306879718497
351,3.0,2.0,0.022258063170754468,0.0062084282796537145
352,3.0,2.0,0.027735243752743086,0.00485987872250942
353,4.0,2.0,0.03262518705976451,0.005202993111840834
354,3.0,2.0,0.017772481078041562,0.005179759616786804
355,3.0,3.0,0.023439820200290104,0.005912700272861915
356,4.0,2.0,0.023770592332077,0.007178270241829221
357,3.0,2.0,0.021788653516998106,0.005276847401255044
358,4.0,2.0,0.029433096086380946,0.007850200431620933
359,3.0,3.0,0.022439592957021273,0.008124916133412785
360,4.0,2.0,0.03090319636038164,0.006835289277438147
361,3.0,2.0,0.026804581222245764,0.00687737199440214
362,3.0,2.0,0.013645011065061309,0.009165932198335891
363,4.0,2.0,0.037798405136572864,0.006018538939739535
364,3.0,2.0,0.0261620863964475,0.004838968777331125
365,3.0,2.0,0.0156832493044044,0.006571148558311049
366,3.0,3.0,0.01602095181292056,0.011361353995038381
367,3.0,2.0,0.0177574336577815,0.005828466326968353
368,3.0,2.0,0.024177607514036897,0.006113052129829357
369,3.0,2.0,0.011777868357427211,0.008869079514712578
370,3.0,2.0,0.021984219050546233,0.007746022353773773
371,3.0,2.0,0.03019726332104035,0.0035746678666508163
372,4.0,2.0,0.027706305291218928,0.005703954287092156
373,3.0,2.0,0.012364828215839193,0.006480968619518525
374,2.0,2.0,0.008357795572830175,0.00909805148700069
375,3.0,2.0,0.025350881693229747,0.0040893924032144
376,3.0,2.0,0.02488239013755492,0.005464645702862197
377,3.0,2.0,0.015846595877182956,0.005970406668842755
378,3.0,2.0,0.018567349138857075,0.006491330822863766
379,4.0,2.0,0.030924619161592677,0.005325320978990674
380,4.0,2.0,0.0331757227955178,0.004766623289259611
381,3.0,2.0,0.012905102247143673,0.007052250843081016
382,3.0,2.0,0.016139301494344425,0.006957418355705391
383,3.0,2.0,0.02343679198410893,0.005270193693694168
384,3.0,2.0,0.018986866319595203,0.0047050122041962855
385,3.0,2.0,0.026829155247551265,0.0054726224822099
386,3.0,2.0,0.017123913362110096,0.009345110688293827
387,4.0,2.0,0.027197379663575702,0.004955577524729949
388,4.0,2.0,0.01957151759692369,0.006248095775539321
389,4.0,2.0,0.031814654067837914,0.005498919694644491
390,3.0,2.0,0.025610438967601998,0.005828060871640117
391,4.0,2.0,0.03845810122426253,0.007351799956034625
392,3.0,2.0,0.025721602762933903,0.008177064272021785
393,3.0,2.0,0.015050304920362164,0.005789366671566061
394,3.0,2.0,0.026132431366591966,0.005438060283794963
395,4.0,2.0,0.033701956105583096,0.004416871940126122
396,3.0,2.0,0.016994530948084046,0.0054144406384572736
397,3.0,3.0,0.019216876418462543,0.010842665413626142
398,4.0,2.0,0.024119559878466222,0.009215291426277616
399,2.0,2.0,0.011733282837485932,0.003976098768792751
400,4.0,2.0,0.03117091758210348,0.004252432063140268
401,3.0,3.0,0.014011254010815436,0.010472008577439795
402,3.0,2.0,0.020776138619795614,0.004673448769275939
403,4.0,2.0,0.020683993337276628,0.0054250926943339986
404,4.0,2.0,0.02568257569843045,0.004214532570400463
405,3.0,2.0,0.022214950529393304,0.006064516947638187
406,4.0,2.0,0.03711882044206434,0.005134891614633897
407,2.0,2.0,0.011585316258799945,0.007812800842346767
408,4.0,2.0,0.027867666222470125,0.004622736053371113
409,5.0,2.0,0.0432785777291603,0.006047069630020783
410,2.0,2.0,0.010137947992951386,0.005081495689918376
411,4.0,2.0,0.03943483737147167,0.005794022849143431
412,4.0,2.0,0.021717837296779882,0.005601998929893929
413,3.0,3.0,0.01907927400984187,0.00932037591890116
414,4.0,2.0,0.020049671082253487,0.00410868722174675
415,3.0,3.0,0.01724354185000108,0.012068379414012696
416,3.0,2.0,0.027408433581287847,0.005933081900514613
417,3.0,2.0,0.01923078830105599,0.005398754409057619
