seed,nc,fst_tt,fst_co,rho
383,2.0,0.013455846083121299,0.041327407485392306,0.4351395730706075
384,3.0,0.016551538807583317,0.02747455333434083,0.42638204707170224
385,2.0,0.009950346801574318,0.040008195890217396,0.608648056923919
386,2.0,0.012462467580901746,0.042924792432794914,0.6174055829228243
387,2.0,0.009538460859830473,0.033503447465955453,0.27038861521620144
388,2.0,0.014984932106849879,0.02259540237544307,0.5900383141762452
389,2.0,0.0202602391026428,0.03751996138890193,0.671592775041051
390,2.0,0.008231003353195343,0.019587488475850953,0.3497536945812808
391,2.0,0.010977446491791013,0.031144828872322165,0.7454844006568144
392,2.0,0.008645469770754742,0.017112999014404044,0.40229885057471265
393,2.0,0.012571614502910703,0.01791133728147068,0.4909688013136289
394,2.0,0.01125891138781197,0.01981619814110397,0.3820470717022441
395,2.0,0.013258399821893503,0.04049344376347605,0.5966064586754242
396,3.0,0.016924109233191716,0.030429824591769863,0.4712643678160919
397,2.0,0.01039636006884636,0.017883957959029348,0.4920634920634921
398,2.0,0.015017378139802215,0.025236493555640793,0.4657909140667761
399,2.0,0.01200206062892444,0.02969543724499267,0.24521072796934865
400,2.0,0.014324861801856579,0.02435478456664942,0.19704433497536944
401,2.0,0.012896450059941002,0.025547058230734644,0.6009852216748768
402,3.0,0.02114708678964454,0.03609511337233662,0.668856048166393
403,2.0,0.014763218717087297,0.04189171924440106,0.7870826491516147
404,3.0,0.020418349698961294,0.031259183306479386,0.30268199233716475
405,2.0,0.014940862562560366,0.032913685044464465,0.3858784893267652
406,2.0,0.014421196063817594,0.028146310754414594,0.6130268199233717
407,2.0,0.015942083352320644,0.03391385292940028,0.5856595511767926
408,2.0,0.014838827757748717,0.02805749688729542,0.6540777230432404
409,2.0,0.01244291119145004,0.025721761632426055,0.675424192665572
410,2.0,0.014896269385755752,0.009794923732576564,0.4865900383141762
411,3.0,0.023321809657963165,0.037729328667903066,0.5429666119321293
412,2.0,0.011771191084870618,0.015268094133493114,0.13355227148330595
413,2.0,0.013174449585174367,0.03380719756984969,0.6272577996715927
414,2.0,0.01638299093884583,0.021232728832740154,0.6770662287903666
415,2.0,0.009388596745978446,0.03131294746076604,0.06622879036672139
416,2.0,0.01420440365728,0.03834606946443812,0.4460864805692392
417,2.0,0.013757643904986409,0.03087773908827115,0.585112205801861
418,2.0,0.013388090166959755,0.023579290793042575,0.4329501915708812
419,2.0,0.01149428134427671,0.028533687703364875,0.45867542419266555
420,2.0,0.007372413765810529,0.017017642364619855,0.6984126984126985
421,3.0,0.018609014580311525,0.03094980205563052,0.24740010946907498
422,2.0,0.013363152141394408,0.046264053427446855,0.6628352490421456
