len_km,mix,mu,seed,ncom,fst,rho
24.0000,0.0100,0.0240,10,3,0.019028,0.482759
24.0000,0.0100,0.0240,11,2,0.008638,0.290093
24.0000,0.0200,0.0060,0,2,0.021886,0.888342
24.0000,0.0200,0.0060,1,2,0.024282,0.712644
24.0000,0.0200,0.0060,2,3,0.028234,0.829776
24.0000,0.0200,0.0060,3,2,0.024662,0.741653
24.0000,0.0200,0.0060,4,2,0.016425,0.539135
24.0000,0.0200,0.0060,5,2,0.021717,0.458675
24.0000,0.0200,0.0060,6,2,0.024156,0.799672
24.0000,0.0200,0.0060,7,2,0.030412,0.537493
24.0000,0.0200,0.0060,8,3,0.042276,0.508484
24.0000,0.0200,0.0060,9,2,0.025378,0.684729
24.0000,0.0200,0.0060,10,3,0.033729,0.216749
24.0000,0.0200,0.0060,11,2,0.027973,0.887794
24.0000,0.0200,0.0120,0,2,0.014260,0.617406
24.0000,0.0200,0.0120,1,2,0.014698,0.581828
24.0000,0.0200,0.0120,2,2,0.011129,0.559387
24.0000,0.0200,0.0120,3,2,0.014833,0.502463
24.0000,0.0200,0.0120,4,2,0.008194,0.509031
24.0000,0.0200,0.0120,5,2,0.012809,0.663930
24.0000,0.0200,0.0120,6,2,0.012570,0.716475
24.0000,0.0200,0.0120,7,2,0.014997,0.804050
24.0000,0.0200,0.0120,8,3,0.011982,0.770662
24.0000,0.0200,0.0120,9,2,0.011709,0.729611
24.0000,0.0200,0.0120,10,2,0.011418,0.362343
24.0000,0.0200,0.0120,11,2,0.015758,0.713191
24.0000,0.0200,0.0240,0,2,0.008740,0.436782
24.0000,0.0200,0.0240,1,2,0.011167,0.346470
24.0000,0.0200,0.0240,2,2,0.005781,0.419267
24.0000,0.0200,0.0240,3,2,0.009044,0.440066
24.0000,0.0200,0.0240,4,2,0.005585,0.482211
24.0000,0.0200,0.0240,5,2,0.009771,0.244663
24.0000,0.0200,0.0240,6,2,0.003493,0.588396
24.0000,0.0200,0.0240,7,2,0.004856,0.389710
24.0000,0.0200,0.0240,8,2,0.005238,0.250684
24.0000,0.0200,0.0240,9,1,nan,0.272578
24.0000,0.0200,0.0240,10,2,0.008805,0.475643
24.0000,0.0200,0.0240,11,2,0.008952,0.363437
24.0000,0.0500,0.0060,0,3,0.030844,0.892720
24.0000,0.0500,0.0060,1,3,0.026651,0.875205
24.0000,0.0500,0.0060,2,2,0.028080,0.945265
24.0000,0.0500,0.0060,3,3,0.028290,0.788725
24.0000,0.0500,0.0060,4,2,0.023351,0.900930
24.0000,0.0500,0.0060,5,2,0.028133,0.731253
