seed,nc,prec,rec,fst_bo,jk0,jk1,jk2,jk3,jk4,jk5,jk6,jk7
116,2.0,0.18604651162790697,1.0,0.0036291134795710554,0.0036630278235833275,0.003797779709631601,0.0032315982664758193,0.0021735318839839366,0.004442333243912391,0.003693392012743105,0.003827204340393574,0.003578330882581278
117,2.0,0.18604651162790697,1.0,0.005533487751322199,0.0061576541139536575,0.00530348710070362,0.0033718817453088023,0.006833776524611297,0.006089713374868027,0.005528951724873262,0.005160450380380777,0.005146055019357119
118,2.0,0.18181818181818182,1.0,0.004308192215486108,0.004609938237686904,0.004252226020465213,0.0037461085035946215,0.0029148383341810126,0.00402937956456959,0.00437112832536406,0.0032613540852861294,0.0047193149780993425
119,2.0,0.18604651162790697,1.0,0.005528522792243581,0.005502545560456383,0.0055070913218218465,0.005388831057701824,0.003045960074383777,0.0064404722225691775,0.0055762666417325584,0.005231692075122611,0.005660655907196392
120,2.0,0.17391304347826086,1.0,0.004150763325965061,0.0038689563942186657,0.004167761041391892,0.0026548552470632,0.004895898233918901,0.004197268442031243,0.004215471585166541,0.0032952448177455836,0.004309059238276697
121,2.0,0.1702127659574468,1.0,0.004096900043475634,0.004192119564818059,0.0041550223445402405,0.003209846877343548,0.0032130701645151877,0.0045139805068284645,0.0041144438947642,0.0036444227638039225,0.0039022423541233563
122,2.0,0.19047619047619047,1.0,0.005563148939236068,0.005220966711414862,0.005438360333424845,0.004012581890415619,0.0032579319727776357,0.0065494067260459645,0.005601868642621612,0.004596557752156448,0.005114664762975454
123,2.0,0.18181818181818182,1.0,0.008324709249748815,0.006975354212792321,0.008492761499328686,0.006035280680082467,0.0058921272048853245,0.008899028859328261,0.008438913350793161,0.006188287457307249,0.008423147177967074
124,2.0,0.18604651162790697,1.0,0.003971744375314967,0.003905024933499297,0.003953927793143058,0.0024805789129229354,0.004202508946877217,0.004780109515285077,0.003997102604552836,0.002973178510785273,0.004003947768144357
125,2.0,0.17777777777777778,1.0,0.003728233250666246,0.0030339013018957734,0.003738151958541275,0.0033158483277414665,0.0030260383096341477,0.003893534099091444,0.0037915129669770773,0.0037305954470620915,0.003154117804308929
126,2.0,0.05263157894736842,0.25,0.00554692613520583,0.004910959690021237,0.005546479309678469,0.004506431699889501,0.0056797141547255655,0.0058547734714669624,0.0056474267102219824,0.004640081949207298,0.005554618609491921
127,2.0,0.18604651162790697,1.0,0.003327307110614829,0.002866048568742145,0.003298611292331364,0.0032431577813521266,0.0031944253806149526,0.003263621123087936,0.003369801372275506,0.0028551768166109855,0.0034878348005446132
128,2.0,0.18604651162790697,1.0,0.003774655846885567,0.0037410109738882954,0.003784767918948747,0.004065977205699815,0.002290039350850954,0.0038382618174782443,0.0038523828264314308,0.0036203554098735834,0.0038781259283855837
129,2.0,0.2,0.875,0.006108078075022052,0.0047119768400537025,0.0059769977491989056,0.0035259650734348214,0.0034873227181335354,0.0066071781634136515,0.006159771738345537,0.005389402744235647,0.00666219259659907
130,2.0,0.18181818181818182,1.0,0.0031860261781715975,0.0030784786295117352,0.0032594515220344014,0.0029360524625095304,0.0020893687311284337,0.0030526483812613647,0.0031988455577529793,0.003518219411890393,0.00369258904406706
131,2.0,0.19047619047619047,1.0,0.0030177936498507417,0.0029790245603760583,0.0030260102045727246,0.002179577689072699,0.003427066405023147,0.0037428593287187123,0.003030256759831268,0.003197195784769689,0.003107481107290768
132,2.0,0.17073170731707318,0.875,0.004684206795005942,0.004165669893772607,0.004704558461835225,0.00375862322097964,0.0024816033201462253,0.0055154300113429205,0.004709607926999861,0.0037423898026675007,0.004815293454837238
