region,model,n_ind,innovation,mixing,loss,matched,fst_median,sim_hs,sim_rich,sim_ht,obs_hs,obs_rich,obs_ht,selected
basin,pooled,2000,0.001,0.005,0.04083556765267281,False,0.003320162314318322,0.5064846309787506,4.712643678160919,0.5109950049753738,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.01,0.022310328309794476,False,0.006720986831205504,0.5015730273042189,5.022988505747127,0.5169970924108351,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.02,0.006751208939575304,True,0.002197504851892404,0.5080954718683578,5.413793103448275,0.5192355673512029,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.05,0.0014858353719397698,True,0.0015761341944891415,0.5044593917291983,5.689655172413793,0.5160821146979506,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.1,0.0035144653682070317,True,0.0016057664281540272,0.5312684050144917,5.6724137931034475,0.5311124633568775,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.2,0.00913531409234973,True,0.0008120492080138065,0.4854529741928615,5.609195402298851,0.4874257939724842,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.001,0.4,0.0014208409116405324,True,0.000648580390156624,0.49963999566566014,5.816091954022988,0.5072768399658166,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.001,0.048001966205036016,False,0.003005616867339649,0.48134784225706756,4.655172413793104,0.5097526833616771,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.002,0.04000496236838702,False,0.0033899296062163933,0.5148466984545262,4.8678160919540225,0.5733216258510773,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.005,0.018797070204385678,False,0.00424461697665378,0.5076603906471383,5.091954022988506,0.5158331143058043,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.01,0.005647152425953084,True,0.001851400046501374,0.5005319482542457,5.517241379310344,0.5044813966063904,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.02,0.002142093046222486,True,0.003233290486511972,0.5221610726337617,5.741379310344828,0.5377080223746035,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.05,0.007029584801457823,True,0.0009624789030972809,0.5174063514883102,6.373563218390806,0.5308255469551213,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.1,0.004229996931367019,True,0.0006601085213740392,0.5212988927956129,6.24712643678161,0.5293801781526044,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.2,0.016126496280436695,False,0.0003561117474527164,0.52582395533954,6.620689655172414,0.5257638441010166,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.002,0.4,0.008966010329113493,True,0.0002964470723831918,0.507793533766547,6.425287356321839,0.5067125499672261,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.001,0.01130312530661396,False,0.0022960856780026625,0.5042077817697924,5.275862068965517,0.5170548062245719,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.002,0.00979341936266437,True,0.002396369737152942,0.5029434829907565,5.32183908045977,0.5282186140698552,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.005,0.0012023174147504333,True,0.001465974206209396,0.5162378187393624,5.706896551724138,0.5230851223739242,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.01,0.00046351539745688783,True,0.0010477573674777018,0.5126179532116911,5.787356321839081,0.5176213926863635,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.02,0.005206271573930455,True,0.0012287773934241022,0.5210478105711258,6.298850574712644,0.5262711359000548,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.05,0.015025928039721626,False,0.001059318101617813,0.5239864022719966,6.597701149425287,0.5276298298887446,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.1,0.021966706685617763,False,0.000447049514935204,0.5216493839754729,6.758620689655172,0.5192168899919846,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.2,0.03133709743760924,False,0.00044488759299992947,0.5169965137798062,6.936781609195402,0.5209872673307443,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.004,0.4,0.050835606757965314,False,0.0004908247620990316,0.5180937200653689,7.218390804597701,0.5133085608393086,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.008,0.001,0.0003474811392088987,True,0.000799325492458556,0.5105024837018917,5.954022988505748,0.514235215375041,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.008,0.002,0.00030051910786219207,True,0.001598422436412502,0.5127776811134324,5.844827586206897,0.5296217552231781,0.5096609240503605,5.896551724137931,0.5224925592027359,False
basin,pooled,2000,0.008,0.005,0.00513250662714115,True,0.000942028098281201,0.5190642604459382,6.304597701149426,0.5215363084203909,0.5096609240503605,5.896551724137931,0.5224925592027359,False
